Image Link,Brand,Item Link,Item Name,Current Price,Previous Price,Savings,Shipping Price,Item rating,Number of ratings
https://c1.neweggimages.com/ProductImageCompressAll300/B41TS23071203S0Q38E.jpg,,https://www.newegg.com/SAMA-80-Plus-1000W-1000-W/p/1HU-02S6-00019?cm_sp=SH-_-1973936-_-8-_-2-_-9SIB41TJD76808-_-power+supply-_-power-_-4&Item=9SIB41TJD76808,SAMA 1000W Power Supply 80 Plus Gold Full Modular Full Voltage ECO Mode 12V FDB Fan ATX PC PSU for GPU 3090ti 4080 4090 Support PCI-E 5.0 Extension 10 Year Warranty White,$124,,,,,8
https://c1.neweggimages.com/ProductImageCompressAll300/1HU-024C-00006-S04.jpg,,https://www.newegg.com/Super-Flower-Leadex-III-SF-750F14HG-750W/p/1HU-024C-00006?cm_sp=SH-_-1721170-_-8-_-2-_-9SIAMNPAY44279-_-power+supply-_-power-_-1&Item=9SIAMNPAY44279,"Super Flower Leadex III 750W 80+ Gold, Three-Way ECO Mode Fanless, Silent & Cooling Mode, FDB Fan, Full Modular Power Supply, Dual Over Power Protection, SF-750F14HG",$109,,,,,325
https://c1.neweggimages.com/ProductImageCompressAll300/AMNPS211026RNrlX.jpg,,https://www.newegg.com/Super-Flower-Leadex-V-Platinum-PRO-SF-850F14TP-850W/p/1HU-024C-00043?cm_sp=SH-_-1721170-_-8-_-2-_-9SIAMNPF9M4221-_-power+supply-_-power-_-2&Item=9SIAMNPF9M4221,"Super Flower Leadex V Platinum PRO 850W ATX 80 PLUS PLATINUM Certified Power Supply, Smallest 130mm 850W ATX PSU, 10 Years Warranty, Patent Super Connectors, Full Modular, SF-850F14TP",$249,,,,,24
https://c1.neweggimages.com/ProductImageCompressAll300/AMNPS200812jLS6N.jpg,,https://www.newegg.com/Super-Flower-Leadex-Platinum-SF-1600F14HP-1600W/p/1HU-024C-00015?cm_sp=SH-_-1721170-_-8-_-2-_-9SIAMNPBX97601-_-power+supply-_-power-_-3&Item=9SIAMNPBX97601,"Super Flower Leadex Platinum 1600W 80+ Platinum, 10 Years Warranty, ECO Fanless & Silent Mode, Full Modular Power Supply, Dual Ball Bearing Fan, SF-1600F14HP",$699,,,,,15
https://c1.neweggimages.com/ProductImageCompressAll300/AM7KS2212200KJIB0C1.jpg,segotep,https://www.newegg.com/segotep-gp-series-750w-fully-modular/p/1HU-00Z0-00006?Item=9SIBGX1JA26866&cm_sp=SP-_-1597044-_-0-_-1-_-9SIBGX1JA26866-_-power supply-_-power|supply-_-1,"Segotep 750W Power Supply Full Modular 80 Plus Gold PSU, 600W 12VHPWR Cable Included, 12+4PIN port and Dual 6+2Pin ports for Different Graphics cards, Silent Fan mode, ATX 3.0 Gaming Power Supply",$89,$119.99,25%,Free Shipping,rated 4.1 out of 5,67
https://c1.neweggimages.com/ProductImageCompressAll300/AM7KS2212200KJIB0C1.jpg,segotep,https://www.newegg.com/segotep-gp-series-750w-fully-modular/p/1HU-00Z0-00006,"Segotep 750W Power Supply Full Modular 80 Plus Gold PSU, 600W 12VHPWR Cable Included, 12+4PIN port and Dual 6+2Pin ports for Different Graphics cards, Silent Fan mode, ATX 3.0 Gaming Power Supply",$89,$119.99,25%,Free Shipping,rated 4.1 out of 5,67
https://c1.neweggimages.com/ProductImageCompressAll300/AM7KS2212200KL4WP02.jpg,segotep,https://www.newegg.com/segotep-gp-series-750w-fully-modular-850w/p/1HU-00Z0-00015,"Segotep 850W ATX 3.0 Power Supply, Full Modular 80 Plus Gold, PCIe 5.0 12+4PIN port and Dual 6+2Pin ports, Suitable for ALL Graphics Cards, Native 600W 12VHPWR Cable, Silent Fan mode",$109,$139.99,21%,Free Shipping,rated 4.1 out of 5,67
https://c1.neweggimages.com/ProductImageCompressAll300/1HU-024C-00006-S04.jpg,Super Flower,https://www.newegg.com/super-flower-leadex-iii-sf-750f14hg-750w/p/1HU-024C-00006?Item=9SIAMNPAY44279&cm_sp=SP-_-1061889-_-0-_-2-_-9SIAMNPAY44279-_-power supply-_-power|supply-_-4,"Super Flower Leadex III 750W 80+ Gold, Three-Way ECO Mode Fanless, Silent & Cooling Mode, FDB Fan, Full Modular Power Supply, Dual Over Power Protection, SF-750F14HG",$109,$129.99,15%,Free Shipping,rated 4.6 out of 5,325
https://c1.neweggimages.com/ProductImageCompressAll300/17-139-311-01.png,Corsair,https://www.newegg.com/corsair-hx-series-hx850-850-w/p/N82E16817139311,CORSAIR HX850 Fully Modular Ultra-Low Noise ATX Power Supply - Triple EPS12V Connectors - Fluid Dynamic Bearing Fan - Zero RPM Fan Mode - 105°C Japanese Capacitors - 80 PLUS Platinum Efficiency,$134,$184.99,27%,Free Shipping,rated 4.4 out of 5,675
https://c1.neweggimages.com/ProductImageCompressAll300/17-701-016-16.jpg,MSI,https://www.newegg.com/msi-mpg-a1000g-pcie-5/p/N82E16817701016,"MSI - MPG A1000G PCIE 5.0, 80 GOLD Full Modular Gaming PSU, 12VHPWR Cable, 4080 4090 ATX 3.0 Compatible, 1000W Power Supply",$169,$199.99,15%,Free Shipping,rated 4.5 out of 5,111
